,Products
712,Rocephin 500mg IV Injection
713,Aldomet 250mg Tablets
714,Azomax 200mg/5ml Suspension
715,ALL DAY PAIN RELIEF TABS (ASSURED) 15'S
716,Savlon 500ml
717,PCT Assay Kit (Maccura)
718,Omeprazole (accord) 20mg capsule
719,Sabroso Olive Oil (Glass) 250ml
720,Methylated Spirit (ECL) 200ml
721,Sebamed Everyday Shampoo 200ml
722,DRAGON JELLY 50ML
723,Amoxycillin (Dynamic Lab)250mg Caps
724,Gluco-Naf C Powder 400g
725,Ibrahim Mixture 500ml
726,Anticid Plus (20 Doses) Tablets
727,Andrews Liver Salt (All)
728,Covonia Mucus 300ml Syrup
729,NUCLEIC ACID DIAGNOSTIC KIT
730,Corbis 5mg Tablets
731,Sulphur Ointment (Dannex) 25g
732,Religrast 300IU/0.5ml Injection
733,MACCURA LANCETS
734,Co-Amoksiklav (Vega) 1g Tablets
735,JOHNSONS 2 IN 1 SHAMPOO & CONDITIONER 50
736,SLEEP AID CAPLETS(DIPHENHYDRAMINE HCL 25
737,Child care 100ml cough & cold
738,Clexane 6000 IU (60mg)/0.6ml
739,Gluco-Naf Powder (Pineapple) 400g
740,COLGATE MAX WHITE (BRIGHT STRIPS) 170G
741,DICLO-DENK 50MG
742,Sertraline(Genesis) 50mg Tablet
743,Bella Cough Syrup
744,Axacef 500mg Tablets
745,Zubes ( 4 Doses) Lozenges
746,buscomide 1ml injection
747,Forever Clair Lipstick
748,zubes lozenges
749,BENDROFLUAZIDE 5MG
750,FUMET SUSP 100ML
751,Visine Advance 15ml Eye Drops
752,Sample DNA/RNA Purif/Extr Kit
753,Samalin Junior Cough Syrup
754,Malarone Paediatric 62.5mg/25mg Tab
755,Magik Toothache Solution 7ml
756,Enacef 250mg Tablets
757,Lorazepam (Genus) 1mg Tablets
758,Grisoral (Griseofulvin) susp. 100ml
759,Exylin Chesty Cough 100ml Syrup
760,TCP Medicated Soap
761,Malarone Adults 250mg/100mg Tablets
762,Galfer 305mg (100 Doses) Capsules
763,Dormicum 15mg Tablets
764,KEFSTAR 500MG
765,Molfix Diapers S/S
766,Metronidazole(Vega) 400mg (21 doses)
767,Alka Seltzer (2 Doses) Tablets
768,Detrusitol 2mg Tablets
769,Liverplex B 200ml Syrup
770,Oral B 123 Toothpaste 100ml
771,Doxazosin (Teva) 4mg Tablets
772,Dalacin-T 1% Lotion
773,Kombiglyze XR 2.5mg/1000mg Tablets
774,Dithranol (Dannex) 1% Ointment
775,Gvither Forte 80mg/ml Injection
776,Ibuprofen(Galpharm)100mg/5ml 3M+ Susp
777,Tobrex 0.3% 5ml Eye Drops
778,Enacef 125mg/5ml 50ml Suspension
779,Terbinafine (Teva) 250mg Tablets
780,Tenoret 50mg/12.5mg Tablets
781,Prenatal Denk (30 Doses) Tablets
782,Essential Embrocation 27ml
783,Deep Freeze Spray
784,Minavita 200ml Syrup
785,Organic Honey (Wesley Farms) 680g
786,Prevail (Per-fit 360) Diapers
787,Bull Dog Condom (3pieces)
788,Mamia Easy Pants Size 5 (20 Pieces)
789,H4U Vitamin C 100mg (6 Doses) Tablets
790,Relestat 0.5mg/ml Eye drops
791,IMODIUM 2MG
792,BRAGGS ORGANIC APPLE CIDER VINEGAR 437ML
793,Neo-Polycin Eye Ointment
794,Ferum 200ml Syrup
795,Clavulin 228mg/5ml Suspension
796,Novafen 400mg (10 Doses) Tablets
797,Menthol Crystals (Care) 5g
798,salbutamol (pharm-Inter) base inhaler
799,MAMIA BABY DIAPER (SIZE 1 SINGLE 24's)
800,BuscoAid (Hyoscine Butylbromide) Inj
801,Losar Denk 100mg Tablets
802,Rescofer Plus Tonic 100ml
803,Ascoryl 125ml Syrup
804,Intrasite Gel 15g
805,Aciclovir (Wockhardt) 400mg tablet
806,ZINCOVIT SYRUP 100ML
807,Durex Condoms (3 pieces)
808,Limzer 20mg/30mg Capsules
809,Cerelac Biscuit 400g
810,3-Ply Face Mask
811,Cotton Wool 100g
812,Rhizin 5mg/5ml 30ml Syrup
813,Lexotanil 1.5mg Tablets
814,Secnilym 1g Tablets
815,Seven Seas Cod Liver Oil 100ml
816,Aldomet 500mg Tablets
817,Microgynon (21 Doses) Tablets
818,Exforge 10mg/160mg Tablets
819,Somazina 1000mg Oral Sachets 10ml
820,TYLENOL EXTRA STRENGTH 500MG 2'S
821,Dalacin-C 300mg Capsules
822,Beechams Cold & Flu Sachet
823,Icyhot Patch (Chattem)
824,Feroclear 100ml Syrup
825,Fluconazole 150mg Capsule
826,Stretchgo 30g cream
827,wellteen him (30 doses) tablet
828,Omega H3 (30 Doses) Capsules
829,Prednisolone (Strides ) 5mg Tablet
830,Spironolactone (Northstar) 100mg
831,Zurion (30 Doses) Tablets
832,Casodex 50mg Tablets
833,Piriton 2mg/5ml 150ml Syrup
834,DANACIN
835,Codeliv Omega-3 100ml Syrup
836,Amedin 5mg Tablets
837,Prostavite (20 Doses) Capsules
838,Centrum Adult (60 doses) Tablets
839,MORPHINE HCI (STEROP) 10MG/1ML
840,Telfast 120mg Tablets
841,Lucky Hand Sanitizer 236ml
842,LAVINAC GEL 30G
843,Chocho Tea 85g
844,Sinus Rinse (Neilmed)
845,Dexel 4mg Tablets
846,Kefrox 125mg/5ml 70ml Suspension
847,Dulcolax 10mg Suppositories
848,Betnovate C 15g Cream
849,H/AID GINKO BILOBA CAPS
850,Lofnac 75mg/3ml Injection
851,Lydia Postpill 1.5mg (1 Dose) Tablet
852,Senafen 100mg Tablets
853,Isosorbide Dinitrate 10mg Tablets
854,Normal Saline 0.9% (Basi) 500ml
855,Isopto-Carpine 2% Eye Drop
856,Zipferon Iron 200ml Syrup
857,Nizoral 2% Shampoo
858,Cold Multi Symptom Night Time Tablets
859,Atorvastatin (Exeter) 10mg Tablet
860,Feminine Wash (Health Smart) 266ml
861,0.2ml PCR Tubes (48s)
862,anafranil 25mg tablet
863,Lenor 1.5mg Tablet
864,RYDOL CAPS (LOPERAMIDE HCL)
865,Inoxime 200mg Tablets
866,Keptrils Inhaler
867,Bedart(Artemether) 80mg/ml IM.
868,Blood Pressure Monitor ( JZIKI)
869,Panadol 125mg/5ml 60ml Syrup
870,Bonjela Adult 15g
871,ABSORBENT GAUZE 5CM
872,GLIMEPERIDE 2MG (EXETER)
873,Victory Garlic Syrup
874,Aidekit Ovulation Rapid Test kit
875,Isopto-Carpine 4% Eye Drops
876,Exapril 10mg Tablets
877,Arfan 20mg/120mg (24 Doses) Tablets
878,Peladol Extra (10 Doses) Tablets
879,Lavicid (omeprazole) 40mg Injection
880,Metoclopramide (exeter) 10mg/2ml inj
881,Luex Adult Chesty Cough100ml Syrup
882,"Crepe Bandage 6"""
883,Alusil Plus (Letap) 125ml suspension
884,BEST HEALTH MENTHOL COUGH LOZENGES (CHER
885,Se'Clear Eye Drops 10ml
886,Vaseline Intensive Care 400ml
887,Trajenta 5mg Tablets
888,ZOFLORA (ALL)
889,Neo-Hycolex 10ml Eye Drops
890,Atacand Plus 32mg/25mg Tablets
891,Mist. Senna Co (Phersons) 200ml
892,SYMBICORT TURBUHALER 80/4.5MCG (60 DOSES
893,PARACETAMOL (EXETER) 500MG
894,Diagellates 250ml Elixir
895,Luex Adult Dry Cough100ml Syrup
896,Lubrigel Lubricant Jelly 85g
897,Nitrofurantoin (Dr. Reddy) 100mg Tab
898,Renerve Plus Capsules
899,Stomocaine Suspension
900,Kalms Night Tablets
901,X'zole 200mg Tablets
902,Diagellates 500ml Elixir
903,Sebamed Baby Diaper Rash Cream 100ml
904,BENYLIN CHILD CHESTY COUGH SYR 150ML
905,Systane 15ml Eye Drops
906,COLGATE KIDS T/BRUSH
907,HEALTHAID VITAMIN B6 50MG TABS (100 DOSE
908,Paracetamol(Fevastin) I.V inf 100ml
909,Viscof-S Expectorant 100ml Syrup
910,Letrozole Denk 2.5mg Tablets
911,Zyfen 120mg Tablets
912,Exetomol 0.5% 10ml Eye Drops
913,Doxycycline(Dawa) 50mg Capsule
914,Teething Mixture (ECL) 100ml Syrup
915,Vikonon (30 Doses) Tablets
916,SUDAFED SINUS & PAIN TABS
917,Zincovit Drops 15ml
918,Huggies Baby Wipes (72 Pieces)
919,Clavulin 457mg/5ml Suspension
920,Aleve 220mg Tablets
921,Proviron 25mg Tablets
922,Ferrous Sulphate(Exeter)200mg Tablet
923,Warfarin (Teva) 1mg Tablets
924,Cool Eyes Eye Drop 10ml
925,diazepam (phyto-ryker) 5mg tablet
926,Folic Acid (Wockhardt) 5mg Tablet
927,Olfen 75mg SR Tablets
928,Fiesta Fruity condom (3 pieces)
929,Feroglobin (30 Doses) Capsules
930,Azitex 250mg Tablets
931,Exforge HCT 5mg/160mg/12.5mg Tablets
932,Mixtard Vial
933,Avarin 300mg/60mg (10 Doses) Capsules
934,Listerine Mouthwash 95ml
935,Prin-D Tablets
936,Ciprobay 250mg Tablets
937,Levemir 100IU/ml vial
938,Abc vitamin c 100ml syrup
939,ZOFLORA 500ML
940,Lexofen 100mg/5ml 100ml Suspension
941,omroz 40mg injection
942,Calpol Saline Nasal Drop 10ml
943,KLOVINAL SUPP
944,Manix (20 Doses) Capsules
945,Airclean Hood (Biobase) BBS-V680
946,Polyfer Forte 150ml Syrup
947,Naphcon-A Eye Drops
948,Savlon Cream 30g
949,HEALTHAID VITAMIN B12 100MCG TABS (50 DO
950,Diabetone (30 Doses) Tablets
951,Normal Saline 0.9% (Steriflow) 500ml
952,Oxybutynin (Tillomed) 5mg Tablets
953,Mamia Baby Pull-up Size 4 (22's)
954,Celestamine (MSD) 5mg Tablets
955,Newflex Warming Relaxation Gel 120ml
956,Tranexamic Acid 500mg Tablets
957,Savlon 75ml
958,Forxiga 10mg Tablets
959,BETAINE HCL (NOW FOODS)
960,Ibuprofen Denk 600mg Tablets
961,Freshman (30 Doses) Capsules
962,Bisoprolol (Medreich) 5mg Tablet
963,Floxa 125mg/5ml 100ml Suspension
964,XARELTO 10MG
965,Infacol Drops 50ml
966,Ibuprofen (Flamingo) 400 Tablets
967,V2 Love Spray
968,PR Zinc 10mg (10 Doses) Tablets
969,Betnovate 0.1% 15g Cream
970,Cororange 15ml Drops
971,Calamine (Dannex) 15% Ointment
972,Ancigel Antacid 200ml Suspension
973,PILEX CREAM
974,Molfix Small Mini Size 3 3-6kg (15's)
975,Permanet Rect. Mosquito Net (2X)
976,Simvastatin 10mg (Teva) Tablets
977,Dextrose (Aculife) 5% Infusion 500ml
978,HISTACET 60ML
979,OPTREX MULTI ACTION EYE WASH
980,Acne Soap100g (PR&Winning&Co)
981,Vaseline Cocoa Glow 400ml
982,TRITACE 5MG
983,ALSEAS COD LIVER OIL SYR 170ML (ALL FLAV
984,Gripe Water (Oson's)
985,Olfen SR 100mg Tablets
986,Exforge 10mg/320mg Tablets
987,LORATADINE 5MG/5ML SYRUP UK 120ML
988,Cafergot Tablets
989,Wisdom Fresh Breath Spray 12.5ml
990,VIT BCO STRONG(ACCORD)
991,Scipette Pipette 0.5ul-10ul
992,Foxitil 500mg Tablets
993,Virol Blood Tonic 200ml
994,Pregnancy Test Kits (Accurate)
995,Vermox 20mg/ml 30ml Suspension
996,Daktacort Cream 15g
997,Amoxicillin (Letap) 250mg Capsules
998,Gavus Met 50mg/850mg Tablets
999,Buscopan IBS Relief 10mg Tablets
1000,Cox B-200 (Celecoxib) 200mg Caps.
1001,Metrolex-F (21 Doses) Tablets
1002,ALLERGY TABS (ASSURED)
1003,NIGHT TIME COLD AND FLU SYRUP 118ML(CHER
1004,Betnovate 30g Ointment
1005,CLARITHROMYCIN 500MG
1006,FLUCLOXACILLIN 500MG
1007,Histazine 5mg/5ml Syrup
1008,FCF Tonic 300ml
1009,SANDO-K (EFFERVESCENT POTASSIUM 600MG)
1010,HEALTHAID CALCIUM 800MG (120 DOSES) TABS
1011,Warfarin (Crescent) 1mg Tablets
1012,Examox 250mg/5ml Suspension
1013,Bimox 625mg Tablets
1014,Doxycycline (Accord) 50mg Caps
1015,Flemex Adult 100ml Syrup
1016,luex nasal inhaler
1017,Paralex 120mg/5ml 125ml Syrup
1018,Samalin Adult 125ml Syrup
1019,Rapid Care Ankle Support
1020,Tavanic 500mg Infusion
1021,Hydrogen Peroxide (ECL) 200ml
1022,Molfix Giant Mini Size 3-6kg (100's)
1023,Doxycycline (Teva) 50mg Capsules
1024,PMF Petroleum Jelly 200g
1025,Gbedemah Ladies (30 Daoses) Capsules
1026,Kidiron 200ml Tonic
1027,Ladinas Tablets
1028,HEALTHAID VITAMIN E 200IU CAPS
1029,BONJELA INFANT 15MG
1030,Coveram 10mg/10mg Tablets
1031,Vermox 500mg Tablet
1032,No-Spa 40mg Tablets
1033,Tixylix Blackcurrant 100ml Syrup
1034,Calpol 6+ 80ml suspension
1035,LG Glitazone 15mg Tablets
1036,Lofnac Balm 25g
1037,Optrex Bloodshot 10ml Eye Drops
1038,GV PAINT 60ML
1039,Viral sample Preserv. Sol. 3ml Tube
1040,ACTIFED MULTI-ACTION CHESTY COUGH SYR 10
1041,Glucose (Letap) 100g Instant Energy
1042,Pulmocef 500mg Tablets
1043,Lipitor 80mg Tablets
1044,Deep Heat Rub 67g
1045,silver sulfadiaz.(brassica) 50g cream
1046,Laclose (Lactulose) 100ml Solution
1047,Metronidazole (M&G) 400mg Tablet
1048,Metoprolol (Teva) 50mg Tablets
1049,Gebediclo-100 Suppository
1050,Amciclox (Letap) 100ml Susp.
1051,EFFERVESCENT VITAMIN C + ZINC (EAZYLIFE)
1052,ZENTEL 10ML
1053,biohazard bags (small)
1054,Normo-Tears 15ml Eye Drops
1055,Fluoxetine (Bristol) 20mg Capsules
1056,Equate Stomach Relief 473ml
1057,Vitamin E(HealthAid) 400IU (30 Doses)
1058,Pregnancy Test Kit (P-Trust)
1059,Morgan's Pomade 50g
1060,Dynamogen 10ml Ampoule
1061,Avomine 25mg Tablets
1062,calpol 3+m 100ml
1063,Buscopan Original 10mg Tablets
1064,Lucky Blue Ice Gel 227g
1065,OMEGA-3 (DR CHRIS)
1066,FUNBACT-A TRIPLE ACTION
1067,HEALTHAID VITAMIN E 1000IU CAPS
1068,Dentinox Teething Gel 15g
1069,Coldrilif 60ml Syrup
1070,CONTAC DUAL RELIEF NON DROWSY (18 DOSES)
1071,SPIRONOLACTONE 100MG TABS (BRISTOL)
1072,chloramphenicol (ciron) eye drop
1073,Nexium 40mg Tablets
1074,Dicnac-100 (10 doses) tablet
1075,Nifedi-Denk 10mg Tablets
1076,Stimurol 200ml Syrup
1077,DIPHEX CODEINE
1078,Ezetrol 10mg Tablets
1079,Fasigyn 500mg Tablets
1080,Pilex Cream 30g
1081,Zestril 20mg Tablets
1082,Go cough 125ml expectorant
1083,Bell's Olive Oil
1084,Diclolex 100mg (10 Doses) Tablets
1085,Socomol Extra (10 Doses) Capsules
1086,Carrying Case (Hemocue)Maxi Insert
1087,Rosuvastatin (Teva) 5mg Tablets
1088,Kayvii (vitamin c & zinc) 20 doses
1089,Colgate Herbal Toothpaste 140g
1090,Autoclave (Biobase) Medium
1091,Cetapol 500mg (10 Doses) Tablets
1092,LONART FORTE TAB
1093,Ramipril (Actavis) 2.5mg Tablets
1094,Jointace Omega-3 (30 Doses) Capsules
1095,ABC Cold-C syrup 100ml
1096,RUBBING ALCOHOL (IMPORTED)
1097,Atenolol (Almus) 100mg Tablet
1098,Evanova capsules
1099,Buscomed 10mg Tablets
1100,cipromax 500mg tablet
1101,Gamalate B6 80ml Syrup
1102,Lactulose (Sandoz) 500ml Solution
1103,One-A-Day Women's (100 Doses) Tablets
1104,Optivite softgel
1105,Morphine (Mundipharma) 10mg Tablets
1106,VALUPAK GARLIC
1107,Xylo-Acino 0.05%10ml Nasal Drops
1108,Kiss classic condom (3 pieces )
1109,Azithromycin (Somex) 500mg Tablets
1110,VITAMIN C(ASCORB) 1G EFF.
1111,Canderel (105 Doses) Tablets
1112,Simple Linctus (Dannex) Adult
1113,Givers Koo (30 Doses) Capsules
1114,Wellman 50+ (30 Doses) Tablets
1115,Ciprobay 200mg/100ml IV Infusion
1116,Broadpan (Paracetamol) 1g/100ml Inf.
1117,Aerius 0.5mg/5ml 60ml Suspension
1118,Losartan (Sandoz) 100mg Tablet
1119,Power Play Condom (3 Pieces)
1120,Auto-disable syringe 0.3ml
1121,Infa-V Pessaries
1122,Onglyza 5mg Tablets
1123,Tramadol Denk 100mg Retard Tablet.
1124,Zubes Extra Strong 125ml Syrup
1125,Truman capsules
1126,PREGNACARE CONCEPTION
1127,Givers Herbal Mixture
1128,Sebamed Baby Gentle Wash 200ml
1129,BG-Glutamin Plus Tablets
1130,Maccura Glucose Test Strips
1131,Novafulvin 100mg/5ml 100ml Suspension
1132,DIGOXIN 0.25MG
1133,Adidas Deo 250ml Spray
1134,Omeprazole (Sandoz) 20mg
1135,Coldiron Syrup
1136,liqufruta 100ml syrup
1137,Jet 2 Lozenges (6 Doses)
1138,Tocovid Suprabio 200mg Capsules
1139,Kiss strawberry condom (3 pieces )
1140,Cerumol Ear Drops
1141,CIPROFLOXACIN SYR
1142,Atarax 25mg Tablets
1143,Cardiofin 30mg Tablets
1144,Daflon 500mg Tablets
1145,Dexatrol Ointment
1146,U-Check Pregnancy Test Kit
1147,3CP Antiseptic Liquid 100ml
1148,Cerelac Maize 400g
1149,Stopkof Baby 100ml Syrup
1150,LYDIA POSTPILL
1151,Nugel-O Suspension
1152,HbA1c 501 (hemocue) monthly cartridge
1153,Gyno-Daktarin 400mg (3 Doses) Ovules
1154,Scheriproct Ointment 30g
1155,D-ARTEPP 40mg/320mg (6 Doses) Tablets
1156,HEP-B VACCINE ADULT (B.E) 1ML VIAL
1157,Milton Sterilizing Tablets
1158,Dragon 20mg Tablets
1159,Aquafresh M/Teeth
1160,LIGABA 75MG
1161,Xanax 0.5mg Tablets
1162,Contempo Condoms (3 pieces)
1163,OFF ACTIVE MOSQUITO REPELLANT SPRAY 212G
1164,Dextrose Saline Inf.(Otsuka) 500ml
1165,Dragon Spray
1166,Carbamazepine (Ciron) 200mg Tablet
1167,Dettol Soap 100g
1168,Flourouracil (Getwell) 500mg IV
1169,Fluxamox (250mg/5ml) suspension 100ml
1170,Bedisyl 50(Sildernafil) 50mg Tablet
1171,SMA Pro 6 Months+ 800g
1172,OMEPRAZOLE INJECTION
1173,Efferv Vit C(Vitabiotic) 1G (20 Dose)
1174,Aprovasc 150mg/10mg Tablets
1175,Advil 200mg Tablet
1176,Procold (4 Doses) Tablets
1177,Pilex (100 Doses) Tablets
1178,Novamol 500mg Suppositories
1179,Hepatitis B (HBsAg) (GenBody) RDT
1180,Daktarin Tincture 30ml
1181,Losartan (Sandoz) 50mg Tablets
1182,5ml Self Standing Tube
1183,Virest 5% Cream 5g
1184,Camel Antiseptic Lemon 125ml
1185,AYRTONS HAEMOGLOBIN SYR 200ML
1186,ONE TOUCH SELECT TEST STRIP
1187,PAMPERS BABY NAPPY PANTS SIZE 5 (32 PIEC
1188,Ramipril (Bristol) 5mg Tablets
1189,G Swedish Bitters Tonic 330ml
1190,Mycovin 500mg Tablets
1191,MINADEX TONIC 100ML
1192,Risperidone (Exeter) 2mg Tablets
1193,Vitaglobin 200ml Syrup
1194,Decongestant PE (Non Drowsy) Tablets
1195,Diovan 320mg Tablets
1196,Klire Cream 15g
1197,CETIRIZINE 5MG/5ML SUSPENSION (PINEWOOD)
1198,Ramipril (Crescent) 5mg Tablets
1199,Fluogel Toothpaste
1200,Canesten 500mg Pessary
1201,Plenish-K 600mg Tablets
1202,Fenbase Extra Tablets
1203,XBC Aloe Vera Cream 500ml
1204,Galvus Met 50mg/1000mg Tablets
1205,ABC Baby Cough 100ml Syrup
1206,Nurifer (30 Doses) Capsules
1207,ARM & HAMMER DEOSTICK ULTRA MA
1208,Mission Plus Hemoglobin Tests
1209,Dragon Lozenges
1210,Augmentin 457mg/5ml Suspension
1211,savinate 120mg injection
1212,clindamycin (exeter) 300mg capsule
1213,Andaran 75mg Tablets
1214,paingay 30g gel
1215,Levo Denk 250mg Tablets
1216,AUGMENTIN1.2G IV
1217,Feroclear 200ml Syrup
1218,Pabal 100mcg/ml Injection
1219,Candid Dusting Powder
1220,Fenaid Extra 100ml Suspension
1221,Nucleic Acid Extra.(Geneproof) kits
1222,Vitaforce 250ml syrup
1223,GASTRONE 200ML
1224,Atenolol (Almus) 50mg Tablet
1225,VITAMIN B-CO
1226,Neurobion Tablets
1227,Dextrose Saline Inf.(Otsuka)1000ml
1228,Kefen 100mg tablet
1229,Folic Acid (Exeter) 5mg (28doses)Tab.
1230,Vastarel MR 35mg Tablets
1231,GR-Mox (Amoxicillin) 100ml Suspenion
1232,Glucophage 850mg Tablets
1233,25uL PCR Tube
1234,Saline Nasal(Phersons) Drop 10ml
1235,Imazole-V 100mg (7 Doses) Pessaries
1236,Strobin (6 Doses) Lozenges
1237,Glibenclamide (Exeter) 5mg Tablets
1238,Amoksiklav 1.2g IV
1239,Crest (Fresh Mint) Toothpaste 130g
1240,Kefstar 500mg Tablets
1241,"Elastic Bandage 4"""
1242,"Gauze Bandage 4"""
1243,Exifen 100mg/5ml (Orange) Suspension
1244,Kocef 500mg Tablets
1245,Accu-Chek (Active) Glucose Strips
1246,Silden 50mg Tablets
1247,TUSSIN DM CHESTY COUGH ADULT SYR 118ML(O
1248,Exylin Original 100ml Syrup
1249,Evecare (30 Doses) Capsules
1250,Concor 5mg Tablets
1251,LIFESTYLE CONDOMS (3 PACKS)
1252,Levofloxacin (Exeter) 500mg Tablets
1253,HBV Quantitative Real Time Kits
1254,Mycocort Cream 20g
1255,Ciprinol 500mg Tablet
1256,Fiesta strawberry condom (3 pieces)
1257,Speman (100 Doses) Tablets
1258,Xtivor 0.75mg (2 Doses) Tablets
1259,Atorvastatin (Teva) 40mg Tablets
1260,Imperial Leather Liquid Soap 500ml
1261,Refresh Liquigel Eye Drops
1262,Motilium 10mg Tablets
1263,TACIZOL 400MG
1264,Chewette-C 100mg (12 Doses) Tablets
1265,Listerine(Total Care) 500ml Mouthwash
1266,Zolevox 500mg Tablets
1267,Provital tablet
1268,Coartem 80mg/480mg (6 Doses) Tablets
1269,Fama cold tablet
1270,TRIPLIXAM 5MG/1.25MG/5MG
1271,Johnson's Bedtime Baby Bath 500ml
1272,Debriz 10mg Tablets
1273,Enterogermina Oral Suspension
1274,FEMFRESH WASH 150ML
1275,Kalms One Night Tablets
1276,Chlo Ear (Chloramphenicol) ear drop
1277,DICLO-DENK 100MG RETARD
1278,Amlodipine (Bristol) 5mg Tablets
1279,Viagra 50mg Tablets
1280,Mycota Powder 70g
1281,Johnson's Top-To-Toe Baby Bath 500ml
1282,Duromine 30mg Capsules
1283,Atorvastatin (Teva) 80mg Tablets
1284,Tinatett Venecare 750ml Mixture
1285,LOW DOSE ASPRIN 81MG (ASSURED) 60'S
1286,Bell's Tonic Syrup 200ml
1287,BONJELA ADULT 15MG
1288,Vivadona (20 Doses) Capsules
1289,Bedimox 1000 Tablet
1290,NAN 1 400g
1291,KOFOF FAMILY CHEST COUGH 250ML
1292,Ella Kitchen Desert (6's)
1293,Carefree Pantyliner (30 Pieces)
1294,emenorm 2ml injection
1295,Metronidazole(Pharmvit)200mg 21's Tab
1296,Reagent Rack
1297,ASCORYL SYRUP
1298,Diclo-Denk 50mg Retard Tablets
1299,Wellwoman 50+ (30 Doses) Tablets
1300,Primolut-N 5mg Tablets
1301,Spironolactone (Accord) 100mg Tab
1302,ALKA SELTZER
1303,No-Spa 40mg/2ml Injection
1304,Cussons Baby Lotion 200ml
1305,Simvastatin (Crescent) 10mg Tablet
1306,X-Drive Capsules
1307,Colosar-Denk 50mg/12.5mg Tablets
1308,Aveeno Baby Lotion
1309,David Beckham Deodorant Spray 150ml
1310,Cotton Wool 200g
1311,Vielung Acrylic (Original) 100g
1312,ARIA HCG(PREGNANCY) RAPID TEST KIT
1313,Benadryl Allergy Relief 8mg Capsules
1314,Furosemide 20mg Tablets
1315,Dufenac 75mg Capsules
1316,Levothyroxine 100mcg Tablets
1317,NOSPA 40MG/2ML
1318,Xylo-Acino 0.1% 10ml Nasal Drop
1319,MabThera 500mg/50ml IV Infusion
1320,Acyclovir Denk 5% cream
1321,Haematovite (30 Doses) Capsules
1322,Novofine Needles
1323,Zestril 5mg Tablets
1324,Tiny-Vite Drops 50ml
1325,BLUE ICE GEL 227G
1326,Play Time Lubricant 75ml
1327,PERFECTIL PLUS
1328,HEALTHAID LIVERCARE TABS
1329,Cotton Wool 25g
1330,Nelsons Teetha Granules (24 Pieces)
1331,SYMBICORT 160/4.5 120 DOSES
1332,Durex Fetherlite Condom (3 pieces)
1333,Deep Freeze Cold Gel 35g
1334,Proman (30 Doses) Capsules
1335,ASPANOL(ALL IN ONE) COUGH SYRUP 200ML
1336,ASMANOL TABS (ECL)
1337,Onetouch Delica Lancet
1338,CIDAL SOAP
1339,Atenolol (Teva) 25mg Tablets
1340,Elocom 0.1% 15g Cream
1341,Carmex Classsic Lip Balm 7.5g
1342,Diamicron 30mg Tablets
1343,ROBITUSSIN COUGH + CHEST CONGESTION 20'S
1344,Malaria test kits (One Step)
1345,Mist Potassium Citrate
1346,Ayulabs Gripe water 150ml
1347,SPEED STICK POWER FRESH 51G
1348,Nurifer Junior 100ml Syrup
1349,Amoxylex(Amoxillin) 125mg/5ml susp
1350,Naklofen Duo 75mg Tablets
1351,Tadol 50mg Injection
1352,Pretty Cotton Buds (200 Pieces)
1353,Lisinopril (Bristol) 20mg tablet
1354,Exator 20mg Tablets
1355,Tenormin 100mg Tablets
1356,Lufart 20mg/120mg 60ml Suspension
1357,Tentex royal (30 doses ) capsule
1358,Aziwok 250mg Tablets
1359,Rubbing Alchohol (Dr. Ken) 200ml
1360,Kamaclox Mouthwash 300ml
1361,Nasonex 50mcg Nasal Spray
1362,METOCLOPRAMIDE 10MG
1363,Cytotec 200mcg Tablets
1364,ARIA HEPATITIS(HBsAg) COMBO RAPID TEST K
1365,Somazina 1000mg/4ml Injection
1366,Neflucan 150mg capsule
1367,1000uL Pipette Tips
1368,MALAR-2 DS (6 DOSES)
1369,Ferrolex 250ml Syrup
1370,D3 Junior Denk Tablets
1371,Mycostat 150mg Capsules
1372,Zulu 100mg (10 Doses) Tablets
1373,POLYFER FORTE SYR 50ML
1374,Canderel Granula 40g Powder
1375,Bluprost-RT 0.005% 2.5ml Eye Drop
1376,E45 1% 125g Cream
1377,DIAZEPAM 5MG
1378,XBC Evening Primrose Oil Cream 500ml
1379,Febuday 40mg Tablets
1380,Dragon Jelly 100ml
1381,Lexofen 100ml/5ml suspension 150ml
1382,TytoPro medical examination device
1383,Nerve & Bone (Bell's) Liniment
1384,CLOTRI-DENK 100MG (6 DOSES)
1385,Cod Liver Oil (Ayrtons) 150ml
1386,Rescofer Blood Tonic 200ml
1387,BENDROFLUAZIDE 2.5MG
1388,Disposable Lancets (Greenlife) 23G
1389,Cerelac Millet 400g
1390,Vincristine (Celon) 1mg/ml Injection
1391,GYPRONE PLUS TAB
1392,Pregnancy test kits( Accurate)
1393,Metformin (Exeter) 500mg Tablets
1394,SPIRONOLACTONE 25MG TABS
1395,Eposoft 1000mg (30 doses) Capsules
1396,Pycnogenol Mouth Spray
1397,Pre-Meco 75mg/740mg Capsules
1398,Cryo tubes 5ml
1399,Aspirin Cardio 100mg Tablets
1400,Celebrex 200mg Capsules
1401,Deep Heat Rub 35g
1402,ceftriaxone (eskay) 1g injection
1403,Aerius 0.5mg/5ml 150ml Syrup
1404,Sudocrem Cream 60g
1405,COLGATE MA
1406,Ovulation Test Kit
1407,PROTECTIVE BODY SUIT
1408,Tenox 10mg Tablets
1409,Fybogel Orange Sachets
1410,Calcough Infant 125ml Syrup
1411,Citro-C 100mg (10 Doses) Tablets
1412,Ideos 500mg/400IU (30 Doses) Tablets
