,Region Keywords,Regions,Locations,locs
463,Ce,Central,Assin Odumasi,"Assin Odumasi, Central"
464,Ce,Central,Assin Praso,"Assin Praso, Central"
465,Bo,Bono,Asuano,"Asuano, Bono"
466,BE,Bono East,Asuano,"Asuano, Bono East"
467,We,Western,Asubey,"Asubey, Western"
468,Ot,Oti,Asuboe,"Asuboe, Oti"
469,Ah,Ahafo,Asuboi,"Asuboi, Ahafo"
470,As,Ashanti,Asuboi,"Asuboi, Ashanti"
471,Ea,Eastern,Asuboi,"Asuboi, Eastern"
472,As,Ashanti,Asubon,"Asubon, Ashanti"
473,Ea,Eastern,Asuboni,"Asuboni, Eastern"
474,As,Ashanti,Asubuasu,"Asubuasu, Ashanti"
475,As,Ashanti,Asuhyiae,"Asuhyiae, Ashanti"
476,Ot,Oti,Asukawkaw,"Asukawkaw, Oti"
477,Ah,Ahafo,Asukese,"Asukese, Ahafo"
478,As,Ashanti,Asumen,"Asumen, Ashanti"
479,Ah,Ahafo,Asumura,"Asumura, Ahafo"
480,Ea,Eastern,Asunafo,"Asunafo, Eastern"
481,We,Western,Asunti,"Asunti, Western"
482,Bo,Bono,Asuofiri,"Asuofiri, Bono"
483,Bo,Bono,Asuogya,"Asuogya, Bono"
484,We,Western,Asuogya Krobo,"Asuogya Krobo, Western"
485,Ea,Eastern,Asuokaw,"Asuokaw, Eastern"
486,Bo,Bono,Asuokor,"Asuokor, Bono"
487,Ea,Eastern,Asuom,"Asuom, Eastern"
488,WN,Western North,Asuontaa,"Asuontaa, Western North"
489,As,Ashanti,Asuoso,"Asuoso, Ashanti"
490,Ea,Eastern,Asuoso,"Asuoso, Eastern"
491,Ea,Eastern,Asuoyaa,"Asuoyaa, Eastern"
492,GA,Greater Accra,Asutsuare,"Asutsuare, Greater Accra"
493,As,Ashanti,Ataase Nkwanta,"Ataase Nkwanta, Ashanti"
494,Ot,Oti,Atafie,"Atafie, Oti"
495,Ot,Oti,Atakofi,"Atakofi, Oti"
496,As,Ashanti,Atasi,"Atasi, Ashanti"
497,We,Western,Atasi,"Atasi, Western"
498,BE,Bono East,Atebubu,"Atebubu, Bono East"
499,Ce,Central,Ateitu,"Ateitu, Central"
500,Ea,Eastern,Atibie,"Atibie, Eastern"
501,Ea,Eastern,Atikpale,"Atikpale, Eastern"
502,Vo,Volta,Atikpui,"Atikpui, Volta"
503,Ea,Eastern,Atimpoku,"Atimpoku, Eastern"
504,Vo,Volta,Atitekpo,"Atitekpo, Volta"
505,Vo,Volta,Atitekpoe,"Atitekpoe, Volta"
506,Vo,Volta,Atiteti,"Atiteti, Volta"
507,Vo,Volta,Atito,"Atito, Volta"
508,As,Ashanti,Atonsu,"Atonsu, Ashanti"
509,As,Ashanti,Atonsuagya,"Atonsuagya, Ashanti"
510,Vo,Volta,Atorkor,"Atorkor, Volta"
511,Vo,Volta,Atravenu,"Atravenu, Volta"
512,BE,Bono East,Atrensu,"Atrensu, Bono East"
513,Vo,Volta,Atsiati,"Atsiati, Volta"
514,Vo,Volta,Atsiekpoe,"Atsiekpoe, Volta"
515,As,Ashanti,Atta Akura,"Atta Akura, Ashanti"
516,BE,Bono East,Atta Akuraa,"Atta Akuraa, Bono East"
517,Ah,Ahafo,Atta ne Atta,"Atta ne Atta, Ahafo"
518,As,Ashanti,Attakrom,"Attakrom, Ashanti"
519,Ot,Oti,Attakrom,"Attakrom, Oti"
520,Ce,Central,Attakwaa,"Attakwaa, Central"
521,We,Western,Atuabo,"Atuabo, Western"
522,Bo,Bono,Atuna (East),"Atuna (East), Bono"
523,As,Ashanti,Atunso,"Atunso, Ashanti"
524,Ea,Eastern,Atweasin,"Atweasin, Eastern"
525,We,Western,Atwebanso,"Atwebanso, Western"
526,We,Western,Atwereboanda,"Atwereboanda, Western"
527,Ea,Eastern,Avatime,"Avatime, Eastern"
528,Vo,Volta,Ave Afiadenyigba,"Ave Afiadenyigba, Volta"
529,Vo,Volta,Ave Afiadenyigba Old,"Ave Afiadenyigba Old, Volta"
530,Vo,Volta,Ave Kpedome,"Ave Kpedome, Volta"
531,Vo,Volta,Ave Xevi,"Ave Xevi, Volta"
532,Vo,Volta,Avedzeme,"Avedzeme, Volta"
533,Vo,Volta,Avedzi,"Avedzi, Volta"
534,Vo,Volta,Aveme Danyigba,"Aveme Danyigba, Volta"
535,Vo,Volta,Avenorpedo,"Avenorpedo, Volta"
536,Vo,Volta,Avenorpeme,"Avenorpeme, Volta"
537,Vo,Volta,Avevi,"Avevi, Volta"
538,Vo,Volta,Aveyime,"Aveyime, Volta"
539,Vo,Volta,Avume,"Avume, Volta"
540,WN,Western North,Awaso,"Awaso, Western North"
541,Vo,Volta,Awate Todzi,"Awate Todzi, Volta"
542,As,Ashanti,Aworoso,"Aworoso, Ashanti"
543,We,Western,Awudua,"Awudua, Western"
544,We,Western,Awudua Nkwanta,"Awudua Nkwanta, Western"
545,Ea,Eastern,Awukugua,"Awukugua, Eastern"
546,Ea,Eastern,Awunakrom,"Awunakrom, Eastern"
547,Ce,Central,Awutu Bereku,"Awutu Bereku, Central"
548,We,Western,Axim,"Axim, Western"
549,GA,Greater Accra,Ayawaso,"Ayawaso, Greater Accra"
550,WN,Western North,Ayeboso,"Ayeboso, Western North"
551,GA,Greater Accra,Ayetepa,"Ayetepa, Greater Accra"
552,GA,Greater Accra,Ayikuma,"Ayikuma, Greater Accra"
553,Ot,Oti,Ayirafie,"Ayirafie, Oti"
554,Vo,Volta,Ayiwata,"Ayiwata, Volta"
555,Ah,Ahafo,Ayomso,"Ayomso, Ahafo"
556,GA,Greater Accra,Azizanya,"Azizanya, Greater Accra"
557,We,Western,Azuleti,"Azuleti, Western"
558,NE,North East,Baaduuri,"Baaduuri, North East"
559,Bo,Bono,Baano,"Baano, Bono"
560,UW,Upper West,Baayiri,"Baayiri, Upper West"
561,Sa,Savannah,Babator,"Babator, Savannah"
562,Bo,Bono,Babianiha,"Babianiha, Bono"
563,UW,Upper West,Babile,"Babile, Upper West"
564,UW,Upper West,Babujan,"Babujan, Upper West"
565,UE,Upper East,Bachongsa,"Bachongsa, Upper East"
566,UE,Upper East,Bador,"Bador, Upper East"
567,Bo,Bono,Badu,"Badu, Bono"
568,Ea,Eastern,Badukrom,"Badukrom, Eastern"
569,No,Northern,Baduli (Mion),"Baduli (Mion), Northern"
570,No,Northern,Baduli (Nanumba),"Baduli (Nanumba), Northern"
571,Ce,Central,Baifikrom,"Baifikrom, Central"
572,Sa,Savannah,Baka,"Baka, Savannah"
573,We,Western,Bakaekyir,"Bakaekyir, Western"
574,We,Western,Bakanta,"Bakanta, Western"
575,Vo,Volta,Bakpa Avedo,"Bakpa Avedo, Volta"
576,No,Northern,Balai,"Balai, Northern"
577,As,Ashanti,Balana,"Balana, Ashanti"
578,Sa,Savannah,Bambalayuro,"Bambalayuro, Savannah"
579,Vo,Volta,Bame,"Bame, Volta"
580,We,Western,Bamiankor,"Bamiankor, Western"
581,Bo,Bono,Banda Ahenkro,"Banda Ahenkro, Bono"
582,Sa,Savannah,Banda Nkwanta,"Banda Nkwanta, Savannah"
583,NE,North East,Bangbale,"Bangbale, North East"
584,Ea,Eastern,Banso,"Banso, Eastern"
585,We,Western,Banso,"Banso, Western"
586,As,Ashanti,Banso (Akim),"Banso (Akim), Ashanti"
587,As,Ashanti,Bantama,"Bantama, Ashanti"
588,BE,Bono East,Bantama,"Bantama, Bono East"
589,UW,Upper West,Banwon,"Banwon, Upper West"
590,As,Ashanti,Barekese,"Barekese, Ashanti"
591,As,Ashanti,Barekuma,"Barekuma, Ashanti"
592,UW,Upper West,Basebelle,"Basebelle, Upper West"
593,BE,Bono East,Bassa,"Bassa, Bono East"
594,No,Northern,Bato,"Bato, Northern"
595,Bo,Bono,Bator,"Bator, Bono"
596,Vo,Volta,Battor,"Battor, Volta"
597,Vo,Volta,Battor-Dugame,"Battor-Dugame, Volta"
598,Vo,Volta,Batume Junction,"Batume Junction, Volta"
599,GA,Greater Accra,Bawaleshie,"Bawaleshie, Greater Accra"
600,Ce,Central,Bawjiase,"Bawjiase, Central"
601,UE,Upper East,Bawku,"Bawku, Upper East"
602,UW,Upper West,Bayeba Tiging,"Bayeba Tiging, Upper West"
603,Ah,Ahafo,Bechem,"Bechem, Ahafo"
604,Ah,Ahafo,Bediako,"Bediako, Ahafo"
605,As,Ashanti,Bedomase,"Bedomase, Ashanti"
606,Ea,Eastern,Begoro,"Begoro, Eastern"
607,As,Ashanti,Begroase,"Begroase, Ashanti"
608,As,Ashanti,Bekwai,"Bekwai, Ashanti"
609,As,Ashanti,Bemi,"Bemi, Ashanti"
610,WN,Western North,Benchema,"Benchema, Western North"
611,WN,Western North,Benomsuo,"Benomsuo, Western North"
612,We,Western,Benso,"Benso, Western"
613,Ce,Central,Benyadze,"Benyadze, Central"
614,As,Ashanti,Bepoase,"Bepoase, Ashanti"
615,Bo,Bono,Bepoase,"Bepoase, Bono"
616,Ea,Eastern,Bepoase,"Bepoase, Eastern"
617,Ce,Central,Bepoben,"Bepoben, Central"
618,We,Western,Bepoh,"Bepoh, Western"
619,Ce,Central,Bepokokoo,"Bepokokoo, Central"
620,Ea,Eastern,Bepong,"Bepong, Eastern"
621,Bo,Bono,Beposo,"Beposo, Bono"
622,BE,Bono East,Beposo,"Beposo, Bono East"
623,We,Western,Beposo,"Beposo, Western"
624,As,Ashanti,Beposo (Bosomtwe),"Beposo (Bosomtwe), Ashanti"
625,As,Ashanti,Beposo (Sekyere),"Beposo (Sekyere), Ashanti"
626,Bo,Bono,Berekum,"Berekum, Bono"
627,Ea,Eastern,Berekuso,"Berekuso, Eastern"
628,Ce,Central,Besease (Ajumako),"Besease (Ajumako), Central"
629,As,Ashanti,Besease (Ejisu),"Besease (Ejisu), Ashanti"
630,Ce,Central,Besease (Komenda),"Besease (Komenda), Central"
631,BE,Bono East,Besedan,"Besedan, Bono East"
632,As,Ashanti,Betenase,"Betenase, Ashanti"
633,Ce,Central,Bewadze,"Bewadze, Central"
634,Ea,Eastern,Bewase,"Bewase, Eastern"
635,We,Western,Beyin,"Beyin, Western"
636,Bo,Bono,Biadan,"Biadan, Bono"
637,Vo,Volta,Biakpa,"Biakpa, Volta"
638,BE,Bono East,Bianhyew,"Bianhyew, Bono East"
639,WN,Western North,Biano,"Biano, Western North"
640,Ah,Ahafo,Biaso,"Biaso, Ahafo"
641,WN,Western North,Bibiani,"Bibiani, Western North"
642,Ce,Central,Bibianiha,"Bibianiha, Central"
643,UW,Upper West,Bichemboi,"Bichemboi, Upper West"
644,As,Ashanti,Biemso No.1,"Biemso No.1, Ashanti"
645,GA,Greater Accra,Big Ada,"Big Ada, Greater Accra"
646,Sa,Savannah,Bilige,"Bilige, Savannah"
647,UE,Upper East,Bilinsa,"Bilinsa, Upper East"
648,NE,North East,Bimbago,"Bimbago, North East"
649,No,Northern,Bimbilla,"Bimbilla, Northern"
650,UE,Upper East,Bimpella,"Bimpella, Upper East"
651,UE,Upper East,Bimpielega,"Bimpielega, Upper East"
652,UE,Upper East,Binaba,"Binaba, Upper East"
653,No,Northern,Binduli,"Binduli, Northern"
654,UE,Upper East,Binduri,"Binduri, Upper East"
655,As,Ashanti,Bipoa,"Bipoa, Ashanti"
656,Ce,Central,Biriwa,"Biriwa, Central"
657,We,Western,Bisaaso,"Bisaaso, Western"
658,UE,Upper East,Bisigu,"Bisigu, Upper East"
659,UE,Upper East,Biung,"Biung, Upper East"
660,Vo,Volta,Bleamezado,"Bleamezado, Volta"
661,Vo,Volta,Blekusu,"Blekusu, Volta"
662,BE,Bono East,Boabeng,"Boabeng, Bono East"
663,Ea,Eastern,Boakyekrom,"Boakyekrom, Eastern"
664,Sa,Savannah,Boakyipe,"Boakyipe, Savannah"
665,As,Ashanti,Boamang,"Boamang, Ashanti"
666,As,Ashanti,Boanim,"Boanim, Ashanti"
667,As,Ashanti,Boankra,"Boankra, Ashanti"
668,Bo,Bono,Boase,"Boase, Bono"
669,Ah,Ahafo,Boaso,"Boaso, Ahafo"
670,NE,North East,Boaterigu,"Boaterigu, North East"
671,Ce,Central,Bobikuma,"Bobikuma, Central"
672,We,Western,Bobrama,"Bobrama, Western"
673,As,Ashanti,Bobriase,"Bobriase, Ashanti"
674,Bo,Bono,Bodaa,"Bodaa, Bono"
675,Ot,Oti,Bodada,"Bodada, Oti"
676,No,Northern,Bodere,"Bodere, Northern"
677,WN,Western North,Bodi,"Bodi, Western North"
678,As,Ashanti,Bodomase,"Bodomase, Ashanti"
679,As,Ashanti,Bodwesango,"Bodwesango, Ashanti"
680,We,Western,Boekrom,"Boekrom, Western"
681,We,Western,Bogoso,"Bogoso, Western"
682,As,Ashanti,Bogyawe,"Bogyawe, Ashanti"
683,GA,Greater Accra,Boi,"Boi, Greater Accra"
684,WN,Western North,Boinso,"Boinso, Western North"
685,WN,Western North,Boinzan,"Boinzan, Western North"
686,WN,Western North,Bokaso,"Bokaso, Western North"
687,Ea,Eastern,Bokuruwa,"Bokuruwa, Eastern"
688,Sa,Savannah,Bole,"Bole, Savannah"
689,BE,Bono East,Bolga Nkwanta,"Bolga Nkwanta, Bono East"
690,BE,Bono East,Bolga Village,"Bolga Village, Bono East"
691,UE,Upper East,BOLGATANGA,"BOLGATANGA, Upper East"
692,No,Northern,Bolni,"Bolni, Northern"
693,Ah,Ahafo,Bomaa,"Bomaa, Ahafo"
694,As,Ashanti,Bompata,"Bompata, Ashanti"
695,We,Western,Bompieso,"Bompieso, Western"
696,Ea,Eastern,Bomso,"Bomso, Eastern"
697,Ot,Oti,Bonakye,"Bonakye, Oti"
698,No,Northern,Bong,"Bong, Northern"
699,Bo,Bono,Bongase,"Bongase, Bono"
700,UE,Upper East,Bongo,"Bongo, Upper East"
701,UE,Upper East,Bonia,"Bonia, Upper East"
702,Ea,Eastern,Bonkron,"Bonkron, Eastern"
703,We,Western,Bonsa,"Bonsa, Western"
704,We,Western,Bonsa Abawye,"Bonsa Abawye, Western"
705,As,Ashanti,Bonsaaso,"Bonsaaso, Ashanti"
706,We,Western,Bonsaso,"Bonsaso, Western"
707,BE,Bono East,Bonte,"Bonte, Bono East"
708,As,Ashanti,Bonteso,"Bonteso, Ashanti"
709,As,Ashanti,Bonwire,"Bonwire, Ashanti"
710,We,Western,Bonyere,"Bonyere, Western"
711,Bo,Bono,Borfuakura,"Borfuakura, Bono"
712,GA,Greater Accra,Bortianor,"Bortianor, Greater Accra"
713,Ea,Eastern,Boso,"Boso, Eastern"
714,As,Ashanti,Bosomkyekye,"Bosomkyekye, Ashanti"
715,Ea,Eastern,Bosuso,"Bosuso, Eastern"
716,Vo,Volta,Botoku,"Botoku, Volta"
717,Ot,Oti,Bowiri Amanfrom,"Bowiri Amanfrom, Oti"
718,Ot,Oti,Bowiri Anyinase,"Bowiri Anyinase, Oti"
719,Ot,Oti,Bowiri Kyirahin,"Bowiri Kyirahin, Oti"
720,Ot,Oti,Bowiri Odumase,"Bowiri Odumase, Oti"
721,Ea,Eastern,Bowkrom,"Bowkrom, Eastern"
722,As,Ashanti,Bowohomoden,"Bowohomoden, Ashanti"
723,UE,Upper East,Boya,"Boya, Upper East"
724,Ce,Central,Brafoyaw,"Brafoyaw, Central"
725,As,Ashanti,Brahabebome,"Brahabebome, Ashanti"
726,Ce,Central,Brakwa,"Brakwa, Central"
727,Bo,Bono,Branam,"Branam, Bono"
728,Ah,Ahafo,Bredi,"Bredi, Ahafo"
729,BE,Bono East,Bredi No.1,"Bredi No.1, Bono East"
730,Ce,Central,Breman Asikuma,"Breman Asikuma, Central"
731,As,Ashanti,Bremang,"Bremang, Ashanti"
732,Ce,Central,Bremang,"Bremang, Central"
733,Ea,Eastern,Brenase,"Brenase, Eastern"
734,Ea,Eastern,Brepaw,"Brepaw, Eastern"
735,BE,Bono East,Bresuoano,"Bresuoano, Bono East"
736,Ot,Oti,Brewaniase,"Brewaniase, Oti"
737,Bo,Bono,Brewohodi,"Brewohodi, Bono"
738,Ea,Eastern,Bridgease,"Bridgease, Eastern"
739,UW,Upper West,Brifo,"Brifo, Upper West"
740,BE,Bono East,Broahoho,"Broahoho, Bono East"
741,As,Ashanti,Brodekwano,"Brodekwano, Ashanti"
742,We,Western,Brofoyedru,"Brofoyedru, Western"
743,As,Ashanti,Brofoyedru (Adansi),"Brofoyedru (Adansi), Ashanti"
744,As,Ashanti,Brofoyedru (Offinso),"Brofoyedru (Offinso), Ashanti"
745,As,Ashanti,Bronikrom,"Bronikrom, Ashanti"
746,We,Western,Brunikrom,"Brunikrom, Western"
747,Ce,Central,Buabin,"Buabin, Central"
748,Ce,Central,Buabinso,"Buabinso, Central"
749,WN,Western North,Buako Nkwanta,"Buako Nkwanta, Western North"
750,GA,Greater Accra,Buaku,"Buaku, Greater Accra"
751,NE,North East,Buakudow,"Buakudow, North East"
752,Ce,Central,Buduburam,"Buduburam, Central"
753,UE,Upper East,Bugri,"Bugri, Upper East"
754,UW,Upper West,Bugubelle,"Bugubelle, Upper West"
755,No,Northern,Buguya,"Buguya, Northern"
756,No,Northern,Buguyili,"Buguyili, Northern"
757,Bo,Bono,Bui,"Bui, Bono"
758,Sa,Savannah,Buipe,"Buipe, Savannah"
759,UW,Upper West,Bujan,"Bujan, Upper West"
760,Ea,Eastern,Bukunor,"Bukunor, Eastern"
761,Ce,Central,Bukuruso,"Bukuruso, Central"
762,Ea,Eastern,Bukuso,"Bukuso, Eastern"
763,UW,Upper West,Bulenga,"Bulenga, Upper West"
764,Ot,Oti,Bumbula,"Bumbula, Oti"
765,As,Ashanti,Bunaso,"Bunaso, Ashanti"
766,NE,North East,Bunkpurugu,"Bunkpurugu, North East"
767,Ea,Eastern,Bunso,"Bunso, Eastern"
768,As,Ashanti,Buoho,"Buoho, Ashanti"
769,Ah,Ahafo,Buokrukruwa,"Buokrukruwa, Ahafo"
770,BE,Bono East,Buoso,"Buoso, Bono East"
771,BE,Bono East,Buoyem,"Buoyem, Bono East"
772,GA,Greater Accra,Burma Camp,"Burma Camp, Greater Accra"
773,NE,North East,Burugu,"Burugu, North East"
774,We,Western,Busua,"Busua, Western"
775,BE,Bono East,Busunya,"Busunya, Bono East"
776,Sa,Savannah,Butei,"Butei, Savannah"
777,We,Western,Butre,"Butre, Western"
778,Ea,Eastern,Buyiri,"Buyiri, Eastern"
779,WN,Western North,Camp,"Camp, Western North"
780,Ah,Ahafo,Camp No.1,"Camp No.1, Ahafo"
781,Ce,Central,CAPE COAST,"CAPE COAST, Central"
782,We,Western,Cape Three Point,"Cape Three Point, Western"
783,Sa,Savannah,Carpenter,"Carpenter, Savannah"
784,Bo,Bono,Centreso,"Centreso, Bono"
785,No,Northern,Chagbani,"Chagbani, Northern"
786,Ot,Oti,Chaiso,"Chaiso, Oti"
787,UW,Upper West,Challu,"Challu, Upper West"
788,No,Northern,Chamba,"Chamba, Northern"
789,Sa,Savannah,Chambuligu,"Chambuligu, Savannah"
790,Sa,Savannah,Chandayili,"Chandayili, Savannah"
791,No,Northern,Changnayili,"Changnayili, Northern"
792,UW,Upper West,Chapuri,"Chapuri, Upper West"
793,Ea,Eastern,Chebi Aboho,"Chebi Aboho, Eastern"
794,NE,North East,Chereponi,"Chereponi, North East"
795,UE,Upper East,Chiana,"Chiana, Upper East"
796,Ot,Oti,Chinderi,"Chinderi, Oti"
797,Bo,Bono,Chiraa,"Chiraa, Bono"
798,NE,North East,Chirifoyiri,"Chirifoyiri, North East"
799,BE,Bono East,Chiripo,"Chiripo, Bono East"
800,Sa,Savannah,Chokosipe,"Chokosipe, Savannah"
801,BE,Bono East,Chopbaase,"Chopbaase, Bono East"
802,GA,Greater Accra,Christiansborg,"Christiansborg, Greater Accra"
803,UE,Upper East,Chuchuliga,"Chuchuliga, Upper East"
804,GA,Greater Accra,Chuim,"Chuim, Greater Accra"
805,Ea,Eastern,Coaltar,"Coaltar, Eastern"
806,No,Northern,D.C.Kura,"D.C.Kura, Northern"
807,NE,North East,Daazio,"Daazio, North East"
808,Vo,Volta,Dabala,"Dabala, Volta"
809,As,Ashanti,Daban,"Daban, Ashanti"
810,Ce,Central,DabiNaMeWoHen,"DabiNaMeWoHen, Central"
811,UW,Upper West,Dabo,"Dabo, Upper West"
812,We,Western,Daboase,"Daboase, Western"
813,Sa,Savannah,Dabope,"Dabope, Savannah"
814,Sa,Savannah,Daboya,"Daboya, Savannah"
815,Sa,Savannah,Daboyeri,"Daboyeri, Savannah"
816,Ot,Oti,Dadiase,"Dadiase, Oti"
817,WN,Western North,Dadieso,"Dadieso, Western North"
818,We,Western,Dadwen,"Dadwen, Western"
819,UW,Upper West,Daffiama,"Daffiama, Upper West"
820,Vo,Volta,Dafor,"Dafor, Volta"
821,NE,North East,Dagbiriboari,"Dagbiriboari, North East"
822,Ce,Central,Dahom,"Dahom, Central"
823,Vo,Volta,Dakpa,"Dakpa, Volta"
824,No,Northern,Dakpema,"Dakpema, Northern"
825,Sa,Savannah,Dakrupe,"Dakrupe, Savannah"
826,Ot,Oti,DAMBAI,"DAMBAI, Oti"
827,Sa,Savannah,DAMONGO,"DAMONGO, Savannah"
828,As,Ashanti,Dampong,"Dampong, Ashanti"
829,No,Northern,Danayili,"Danayili, Northern"
830,GA,Greater Accra,Danchira,"Danchira, Greater Accra"
831,As,Ashanti,Danso,"Danso, Ashanti"
832,GA,Greater Accra,Dansoman,"Dansoman, Greater Accra"
833,Ot,Oti,Dapaa Junction,"Dapaa Junction, Oti"
834,UW,Upper West,Dariguoyiri,"Dariguoyiri, Upper West"
835,As,Ashanti,Darko,"Darko, Ashanti"
836,GA,Greater Accra,Darkuman,"Darkuman, Greater Accra"
837,Ce,Central,Darmang,"Darmang, Central"
838,BE,Bono East,Dawadawa Nos.1 & 2,"Dawadawa Nos.1 & 2, Bono East"
839,GA,Greater Accra,Dawhenya,"Dawhenya, Greater Accra"
840,Vo,Volta,Dayinu,"Dayinu, Volta"
841,WN,Western North,Debiso,"Debiso, Western North"
842,Ea,Eastern,Dedeso,"Dedeso, Eastern"
843,As,Ashanti,Dedesua,"Dedesua, Ashanti"
844,Vo,Volta,Dekpoe,"Dekpoe, Volta"
845,Vo,Volta,Dekpor,"Dekpor, Volta"
846,No,Northern,Demon,"Demon, Northern"
847,No,Northern,Demonaayili,"Demonaayili, Northern"
848,Ce,Central,Denkyira Obuasi,"Denkyira Obuasi, Central"
849,As,Ashanti,Densubon,"Densubon, Ashanti"
850,Ea,Eastern,Densuso,"Densuso, Eastern"
851,Ot,Oti,Dentemanso,"Dentemanso, Oti"
852,BE,Bono East,Denteso,"Denteso, Bono East"
853,Vo,Volta,Denu,"Denu, Volta"
854,As,Ashanti,Denyase,"Denyase, Ashanti"
855,UW,Upper West,Deriyiri,"Deriyiri, Upper West"
856,Vo,Volta,Deve,"Deve, Volta"
857,Bo,Bono,Diabakrom,"Diabakrom, Bono"
858,Ce,Central,Diaso,"Diaso, Central"
859,NE,North East,Dibisi,"Dibisi, North East"
860,As,Ashanti,Didaso,"Didaso, Ashanti"
861,UW,Upper West,Dimajan,"Dimajan, Upper West"
862,NE,North East,Dintigi,"Dintigi, North East"
863,No,Northern,Dinyogo,"Dinyogo, Northern"
864,WN,Western North,Disuaboi,"Disuaboi, Western North"
865,WN,Western North,Disueano,"Disueano, Western North"
866,We,Western,Dixcove,"Dixcove, Western"
867,Ot,Oti,Dodi Aboabo,"Dodi Aboabo, Oti"
868,Ot,Oti,Dodi Mempeasem,"Dodi Mempeasem, Oti"
869,Ot,Oti,Dodi Papase,"Dodi Papase, Oti"
870,UW,Upper West,Dodiyiri,"Dodiyiri, Upper West"
871,Ot,Oti,Dodo Amanfrom,"Dodo Amanfrom, Oti"
872,Ot,Oti,Dodofie,"Dodofie, Oti"
873,GA,Greater Accra,Dodowa,"Dodowa, Greater Accra"
874,BE,Bono East,Dogokrom,"Dogokrom, Bono East"
875,No,Northern,Dohini,"Dohini, Northern"
876,Bo,Bono,Dokokyina,"Dokokyina, Bono"
877,Sa,Savannah,Doli,"Doli, Savannah"
878,UW,Upper West,Dolibizon,"Dolibizon, Upper West"
879,As,Ashanti,Domase,"Domase, Ashanti"
880,As,Ashanti,Dome,"Dome, Ashanti"
881,GA,Greater Accra,Dome,"Dome, Greater Accra"
882,As,Ashanti,Dome Beposo,"Dome Beposo, Ashanti"
883,As,Ashanti,Domeabra (Sekyere),"Domeabra (Sekyere), Ashanti"
884,Ea,Eastern,Domi,"Domi, Eastern"
885,WN,Western North,Domi,"Domi, Western North"
886,As,Ashanti,Domiabra,"Domiabra, Ashanti"
887,Ot,Oti,Domiabra,"Domiabra, Oti"
888,We,Western,Domiabra,"Domiabra, Western"
889,Ah,Ahafo,Dominase,"Dominase, Ahafo"
890,As,Ashanti,Dominase,"Dominase, Ashanti"
891,Ce,Central,Dominase,"Dominase, Central"
892,Ce,Central,Dominase,"Dominase, Central"
893,Ce,Central,Dominase,"Dominase, Central"
894,Ea,Eastern,Dominase,"Dominase, Eastern"
895,We,Western,Dominase,"Dominase, Western"
896,Ce,Central,Dompim,"Dompim, Central"
897,We,Western,Dompim,"Dompim, Western"
898,We,Western,Dompim No.1,"Dompim No.1, Western"
899,As,Ashanti,Dompoase,"Dompoase, Ashanti"
900,Ce,Central,Dompoase,"Dompoase, Central"
901,We,Western,Dompoase,"Dompoase, Western"
902,Bo,Bono,Dompofie,"Dompofie, Bono"
903,We,Western,Domunli,"Domunli, Western"
904,UE,Upper East,Doninga,"Doninga, Upper East"
905,Sa,Savannah,Donkonpe,"Donkonpe, Savannah"
906,Ea,Eastern,Donkorkrom,"Donkorkrom, Eastern"
907,BE,Bono East,Donkro Nkwanta,"Donkro Nkwanta, Bono East"
908,BE,Bono East,Dononso,"Dononso, Bono East"
909,Bo,Bono,Dormaa Ahenkro,"Dormaa Ahenkro, Bono"
910,Bo,Bono,Dormaa Akwamu,"Dormaa Akwamu, Bono"
911,GA,Greater Accra,Doryumu,"Doryumu, Greater Accra"
912,As,Ashanti,Dotiem,"Dotiem, Ashanti"
913,Bo,Bono,Drobo,"Drobo, Bono"
914,As,Ashanti,Drobonso,"Drobonso, Ashanti"
915,Bo,Bono,Droboso,"Droboso, Bono"
916,BE,Bono East,Dromankese,"Dromankese, Bono East"
917,BE,Bono East,Dromankuma,"Dromankuma, Bono East"
918,Ah,Ahafo,Duayaw Nkwanta,"Duayaw Nkwanta, Ahafo"
919,No,Northern,Duko,"Duko, Northern"
920,We,Western,Dumase,"Dumase, Western"
921,Bo,Bono,Dumasua,"Dumasua, Bono"
922,BE,Bono East,Dumso,"Dumso, Bono East"
923,Ce,Central,Dunkwa-on-Offin,"Dunkwa-on-Offin, Central"
924,UW,Upper West,Dupare,"Dupare, Upper West"
925,Vo,Volta,Duta,"Duta, Volta"
926,No,Northern,Duuni,"Duuni, Northern"
927,UW,Upper West,Duunonyuali,"Duunonyuali, Upper West"
928,WN,Western North,Duwakrom,"Duwakrom, Western North"
929,BE,Bono East,Dwankrom,"Dwankrom, Bono East"
930,Ce,Central,Dwenase,"Dwenase, Central"
931,We,Western,Dwenase,"Dwenase, Western"
932,Ce,Central,Dwendwenbadze,"Dwendwenbadze, Central"
933,BE,Bono East,Dwija,"Dwija, Bono East"
934,As,Ashanti,Dwinyama,"Dwinyama, Ashanti"
935,As,Ashanti,Dwoamin,"Dwoamin, Ashanti"
936,Vo,Volta,Dzelukope,"Dzelukope, Volta"
937,Ot,Oti,Dzindziso,"Dzindziso, Oti"
938,Vo,Volta,Dzita,"Dzita, Volta"
939,Vo,Volta,Dzodze,"Dzodze, Volta"
940,Vo,Volta,Dzodze Fiagbedu,"Dzodze Fiagbedu, Volta"
941,Vo,Volta,Dzogbe,"Dzogbe, Volta"
942,Vo,Volta,Dzogbefeme,"Dzogbefeme, Volta"
